Photon    Coherent Incoher. Photoel. Tot. w/  
Energy    Scatter. Scatter. Absorb.  Coherent 

1.000E-02 1.620E-01 1.352E-01 2.076E+00 2.373E+00 
1.500E-02 9.787E-02 1.510E-01 5.585E-01 8.074E-01 
2.000E-02 6.478E-02 1.595E-01 2.177E-01 4.420E-01 
3.000E-02 3.365E-02 1.655E-01 5.706E-02 2.562E-01 
4.000E-02 2.045E-02 1.653E-01 2.193E-02 2.076E-01 
5.000E-02 1.371E-02 1.630E-01 1.042E-02 1.871E-01 
6.000E-02 9.807E-03 1.598E-01 5.671E-03 1.753E-01 
8.000E-02 5.711E-03 1.531E-01 2.169E-03 1.610E-01 
1.000E-01 3.719E-03 1.466E-01 1.031E-03 1.514E-01 
